workload,Channel,interface,mitigation,RD_REQs,WR_REQs,WR_ratio
500.perlbench,4.0,8800.0,Baseline-ClosedCap4,859959.0,52943.0,0.05799417681196886
459.GemsFDTD,8.0,8800.0,Baseline-ClosedCap4,12223573.0,4463118.0,0.2674657306232853
ycsb_cserver,8.0,8800.0,Baseline-ClosedCap4,1279983.0,41568.0,0.031453950698837954
wc_8443,1.0,8800.0,Baseline-ClosedCap4,2768471.0,2670936.0,0.49103440871403814
458.sjeng,1.0,17600.0,Baseline-ClosedCap4,170651.0,97055.0,0.36254323773094366
507.cactuBSSN,1.0,6400.0,Baseline-ClosedCap4,1609092.0,341983.0,0.17527926912086927
471.omnetpp,1.0,17600.0,Baseline-ClosedCap4,5507746.0,228046.0,0.03975841522844622
510.parest,1.0,3200.0,Baseline-ClosedCap4,8614701.0,131156.0,0.014996357703996304
444.namd,1.0,17600.0,Baseline-ClosedCap4,21246.0,255.0,0.011859913492395702
ycsb_abgsave,1.0,12800.0,Baseline-ClosedCap4,516619.0,149927.0,0.22493121254947146
557.xz,2.0,8800.0,Baseline-ClosedCap4,1141576.0,721513.0,0.38726706024242535
ycsb_bserver,4.0,8800.0,Baseline-ClosedCap4,1291150.0,70671.0,0.05189448539859497
462.libquantum,8.0,8800.0,Baseline-ClosedCap4,13190095.0,2097751.0,0.13721691074072828
ycsb_bserver,1.0,12800.0,Baseline-ClosedCap4,1291150.0,70671.0,0.05189448539859497
482.sphinx3,1.0,8800.0,Baseline-ClosedCap4,6303810.0,384674.0,0.057512883337988104
435.gromacs,2.0,8800.0,Baseline-ClosedCap4,264404.0,82242.0,0.2372506822522112
520.omnetpp,16.0,8800.0,Baseline-ClosedCap4,4555310.0,2169681.0,0.3226295767533369
541.leela,2.0,8800.0,Baseline-ClosedCap4,6778.0,2.0,0.0002949852507374631
523.xalancbmk,1.0,17600.0,Baseline-ClosedCap4,443874.0,370371.0,0.4548643221634766
tpch2,1.0,17600.0,Baseline-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
435.gromacs,1.0,12800.0,Baseline-ClosedCap4,264404.0,82242.0,0.2372506822522112
470.lbm,4.0,8800.0,Baseline-ClosedCap4,14403466.0,10571052.0,0.4232735142275819
ycsb_eserver,4.0,8800.0,Baseline-ClosedCap4,1405847.0,86206.0,0.057776767983442945
526.blender,8.0,8800.0,Baseline-ClosedCap4,116503.0,196.0,0.0016795345290019623
538.imagick,8.0,8800.0,Baseline-ClosedCap4,4719.0,0.0,0.0
456.hmmer,1.0,17600.0,Baseline-ClosedCap4,371231.0,264766.0,0.4163007058209394
wc_map0,1.0,12800.0,Baseline-ClosedCap4,2751144.0,2658120.0,0.49140141801176646
456.hmmer,1.0,8800.0,Baseline-ClosedCap4,371231.0,264766.0,0.4163007058209394
437.leslie3d,1.0,12800.0,Baseline-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
481.wrf,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,13887.0,31.0,0.0022273315131484408
450.soplex,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,8930307.0,4465167.0,0.3333340052020556
549.fotonik3d,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,12739998.0,4083582.0,0.2427296687149822
401.bzip2,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
433.milc,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
549.fotonik3d,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12740001.0,4083583.0,0.24272967044358681
433.milc,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
437.leslie3d,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
ycsb_aserver,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1403658.0,332583.0,0.19155347673508458
502.gcc,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,325828.0,211600.0,0.393727159731164
500.perlbench,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,859959.0,52943.0,0.05799417681196886
436.cactusADM,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2408645.0,715034.0,0.2289076438392037
471.omnetpp,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,5507746.0,228046.0,0.03975841522844622
grep_map0,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1830037.0,1761170.0,0.49041171951380136
tpch2,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
403.gcc,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,93218.0,3704.0,0.038216297641402365
510.parest,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,8614701.0,131156.0,0.014996357703996304
510.parest,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,8614701.0,131156.0,0.014996357703996304
523.xalancbmk,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,443874.0,370371.0,0.4548643221634766
435.gromacs,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,264404.0,82242.0,0.2372506822522112
508.namd,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
tpch2,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
401.bzip2,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
434.zeusmp,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12060504.0,11463588.0,0.4873126665207737
459.GemsFDTD,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,12223572.0,4463117.0,0.26746570275265513
523.xalancbmk,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,443874.0,370371.0,0.4548643221634766
444.namd,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,21246.0,255.0,0.011859913492395702
531.deepsjeng,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
456.hmmer,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,371231.0,264766.0,0.4163007058209394
401.bzip2,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
wc_map0,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,2751144.0,2658120.0,0.49140141801176646
538.imagick,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4719.0,0.0,0.0
505.mcf,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
437.leslie3d,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
436.cactusADM,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2408645.0,715034.0,0.2289076438392037
557.xz,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1141576.0,721513.0,0.38726706024242535
519.lbm,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,12626141.0,9445015.0,0.4279347669872842
434.zeusmp,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12060506.0,11463590.0,0.48731266867810774
473.astar,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,2670428.0,1875421.0,0.41255681831930624
h264_encode,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,33462.0,3200.0,0.08728383612459768
458.sjeng,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,170651.0,97055.0,0.36254323773094366
447.dealII,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,21604.0,504.0,0.022797177492310475
531.deepsjeng,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
437.leslie3d,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
401.bzip2,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
grep_map0,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1830037.0,1761170.0,0.49041171951380136
510.parest,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8614701.0,131156.0,0.014996357703996304
h264_encode,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,33462.0,3200.0,0.08728383612459768
464.h264ref,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,63032.0,20886.0,0.24888581710717605
444.namd,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,21246.0,255.0,0.011859913492395702
jp2_encode,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1345306.0,1109223.0,0.45190869612866663
ycsb_dserver,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,910378.0,117098.0,0.11396665226243727
ycsb_eserver,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1405847.0,86206.0,0.057776767983442945
tpch6,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,527986.0,240815.0,0.3132345041174504
483.xalancbmk,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,6805319.0,163340.0,0.023439229843216607
450.soplex,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8930307.0,4465167.0,0.3333340052020556
tpch6,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,527986.0,240815.0,0.3132345041174504
549.fotonik3d,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12740001.0,4083583.0,0.24272967044358681
tpcc64,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,1802978.0,430493.0,0.19274617848183387
ycsb_abgsave,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,516619.0,149927.0,0.22493121254947146
jp2_decode,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,2414320.0,1853971.0,0.43435909126158456
525.x264,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,152049.0,54542.0,0.2640095647922707
433.milc,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
549.fotonik3d,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12739998.0,4083582.0,0.2427296687149822
435.gromacs,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,264404.0,82242.0,0.2372506822522112
tpch17,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,3801889.0,1319302.0,0.25761624590842247
ycsb_cserver,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,1279983.0,41568.0,0.031453950698837954
ycsb_dserver,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,910378.0,117098.0,0.11396665226243727
505.mcf,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
473.astar,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,2670428.0,1875421.0,0.41255681831930624
ycsb_dserver,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,910378.0,117098.0,0.11396665226243727
462.libquantum,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,13190102.0,2097751.0,0.13721684791186833
470.lbm,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,14403466.0,10571052.0,0.4232735142275819
511.povray,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,4770.0,0.0,0.0
505.mcf,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
531.deepsjeng,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
tpch17,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,3801889.0,1319302.0,0.25761624590842247
445.gobmk,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,171205.0,111210.0,0.39378219995396846
wc_8443,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,2768471.0,2670936.0,0.49103440871403814
482.sphinx3,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,6303810.0,384674.0,0.057512883337988104
544.nab,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,131968.0,3701.0,0.027279629097288254
470.lbm,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,14403466.0,10571052.0,0.4232735142275819
502.gcc,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,325828.0,211600.0,0.393727159731164
403.gcc,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,93218.0,3704.0,0.038216297641402365
462.libquantum,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,13190099.0,2097751.0,0.13721687483851555
507.cactuBSSN,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1609092.0,341983.0,0.17527926912086927
grep_map0,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1830037.0,1761170.0,0.49041171951380136
538.imagick,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,4719.0,0.0,0.0
tpch6,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,527986.0,240815.0,0.3132345041174504
jp2_encode,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1345306.0,1109223.0,0.45190869612866663
tpch6,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,527986.0,240815.0,0.3132345041174504
401.bzip2,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
520.omnetpp,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4555310.0,2169681.0,0.3226295767533369
458.sjeng,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,170651.0,97055.0,0.36254323773094366
tpch6,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,527986.0,240815.0,0.3132345041174504
ycsb_cserver,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1279983.0,41568.0,0.031453950698837954
tpch2,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
jp2_encode,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1345306.0,1109223.0,0.45190869612866663
437.leslie3d,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
ycsb_aserver,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1403657.0,332582.0,0.19155312143086292
ycsb_cserver,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,1279983.0,41568.0,0.031453950698837954
538.imagick,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4719.0,0.0,0.0
544.nab,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,131968.0,3701.0,0.027279629097288254
445.gobmk,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,171205.0,111210.0,0.39378219995396846
531.deepsjeng,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
500.perlbench,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,859959.0,52943.0,0.05799417681196886
wc_map0,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,2751144.0,2658120.0,0.49140141801176646
471.omnetpp,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,5507746.0,228046.0,0.03975841522844622
444.namd,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,21246.0,255.0,0.011859913492395702
508.namd,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
434.zeusmp,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,12060507.0,11463590.0,0.4873126479626402
505.mcf,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
ycsb_eserver,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,1405846.0,86205.0,0.057776175211169054
519.lbm,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,12626141.0,9445015.0,0.4279347669872842
wc_map0,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2751144.0,2658120.0,0.49140141801176646
531.deepsjeng,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
511.povray,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4770.0,0.0,0.0
433.milc,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
508.namd,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
505.mcf,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
ycsb_bserver,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,1291150.0,70671.0,0.05189448539859497
ycsb_cserver,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1279983.0,41568.0,0.031453950698837954
508.namd,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
434.zeusmp,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12060504.0,11463588.0,0.4873126665207737
tpch2,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
403.gcc,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,93218.0,3704.0,0.038216297641402365
444.namd,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,21246.0,255.0,0.011859913492395702
520.omnetpp,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4555310.0,2169681.0,0.3226295767533369
433.milc,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
ycsb_eserver,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1405847.0,86206.0,0.057776767983442945
462.libquantum,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,13190096.0,2097751.0,0.13721690176517334
510.parest,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8614701.0,131156.0,0.014996357703996304
502.gcc,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,325828.0,211600.0,0.393727159731164
557.xz,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,1141576.0,721513.0,0.38726706024242535
473.astar,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2670428.0,1875421.0,0.41255681831930624
ycsb_abgsave,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,516619.0,149927.0,0.22493121254947146
471.omnetpp,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,5507746.0,228046.0,0.03975841522844622
481.wrf,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,13887.0,31.0,0.0022273315131484408
473.astar,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2670428.0,1875421.0,0.41255681831930624
wc_8443,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,2768471.0,2670936.0,0.49103440871403814
526.blender,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,116503.0,196.0,0.0016795345290019623
433.milc,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
481.wrf,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,13887.0,31.0,0.0022273315131484408
508.namd,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
525.x264,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,152049.0,54542.0,0.2640095647922707
wc_map0,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2751144.0,2658120.0,0.49140141801176646
508.namd,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,191281.0,25929.0,0.11937295704617651
h264_encode,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,33462.0,3200.0,0.08728383612459768
471.omnetpp,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,5507746.0,228046.0,0.03975841522844622
433.milc,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8008212.0,2704600.0,0.2524640589230913
462.libquantum,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,13190095.0,2097751.0,0.13721691074072828
401.bzip2,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
437.leslie3d,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,7490900.0,2538104.0,0.2530763772753506
505.mcf,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,5745829.0,44231.0,0.007639126364839052
531.deepsjeng,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,145881.0,75902.0,0.34223542832408255
jp2_decode,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,2414320.0,1853971.0,0.43435909126158456
538.imagick,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4719.0,0.0,0.0
526.blender,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,116503.0,196.0,0.0016795345290019623
h264_encode,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,33462.0,3200.0,0.08728383612459768
525.x264,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,152049.0,54542.0,0.2640095647922707
ycsb_abgsave,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,516619.0,149927.0,0.22493121254947146
ycsb_cserver,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1279983.0,41568.0,0.031453950698837954
403.gcc,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,93218.0,3704.0,0.038216297641402365
ycsb_dserver,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,910378.0,117098.0,0.11396665226243727
464.h264ref,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,63032.0,20886.0,0.24888581710717605
ycsb_bserver,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1291150.0,70671.0,0.05189448539859497
519.lbm,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,12626141.0,9445015.0,0.4279347669872842
525.x264,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,152049.0,54542.0,0.2640095647922707
471.omnetpp,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,5507746.0,228046.0,0.03975841522844622
525.x264,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,152049.0,54542.0,0.2640095647922707
ycsb_dserver,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,910378.0,117098.0,0.11396665226243727
wc_8443,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,2768471.0,2670936.0,0.49103440871403814
tpch2,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4654963.0,2045902.0,0.3053190894011445
ycsb_bserver,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1291150.0,70671.0,0.05189448539859497
tpch17,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,3801889.0,1319302.0,0.25761624590842247
ycsb_abgsave,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,516619.0,149927.0,0.22493121254947146
523.xalancbmk,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,443874.0,370371.0,0.4548643221634766
h264_encode,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,33462.0,3200.0,0.08728383612459768
tpcc64,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1802978.0,430493.0,0.19274617848183387
464.h264ref,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,63032.0,20886.0,0.24888581710717605
511.povray,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,4770.0,0.0,0.0
470.lbm,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,14403466.0,10571052.0,0.4232735142275819
401.bzip2,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,470875.0,219614.0,0.3180557546897923
523.xalancbmk,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,443874.0,370371.0,0.4548643221634766
483.xalancbmk,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,6805319.0,163340.0,0.023439229843216607
482.sphinx3,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,6303810.0,384674.0,0.057512883337988104
450.soplex,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8930307.0,4465167.0,0.3333340052020556
482.sphinx3,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,6303810.0,384674.0,0.057512883337988104
541.leela,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,6778.0,2.0,0.0002949852507374631
450.soplex,8.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8930306.0,4465167.0,0.3333340300861343
500.perlbench,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,859959.0,52943.0,0.05799417681196886
482.sphinx3,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,6303810.0,384674.0,0.057512883337988104
511.povray,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,4770.0,0.0,0.0
511.povray,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,4770.0,0.0,0.0
500.perlbench,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,859959.0,52943.0,0.05799417681196886
462.libquantum,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,13190095.0,2097751.0,0.13721691074072828
ycsb_aserver,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,1403657.0,332582.0,0.19155312143086292
450.soplex,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8930306.0,4465167.0,0.3333340300861343
ycsb_eserver,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1405847.0,86206.0,0.057776767983442945
519.lbm,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12626141.0,9445015.0,0.4279347669872842
507.cactuBSSN,1.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1609092.0,341983.0,0.17527926912086927
456.hmmer,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,371231.0,264766.0,0.4163007058209394
544.nab,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,131968.0,3701.0,0.027279629097288254
459.GemsFDTD,1.0,12800.0,PRAC_WO_Mitigation-ClosedCap4,12223573.0,4463118.0,0.2674657306232853
549.fotonik3d,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,12740001.0,4083583.0,0.24272967044358681
ycsb_aserver,1.0,17600.0,PRAC_WO_Mitigation-ClosedCap4,1403657.0,332582.0,0.19155312143086292
444.namd,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,21246.0,255.0,0.011859913492395702
507.cactuBSSN,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1609092.0,341983.0,0.17527926912086927
459.GemsFDTD,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,12223573.0,4463118.0,0.2674657306232853
grep_map0,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,1830037.0,1761170.0,0.49041171951380136
519.lbm,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,12626141.0,9445015.0,0.4279347669872842
541.leela,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,6778.0,2.0,0.0002949852507374631
526.blender,1.0,3200.0,PRAC_WO_Mitigation-ClosedCap4,116503.0,196.0,0.0016795345290019623
450.soplex,4.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,8930306.0,4465167.0,0.3333340300861343
544.nab,16.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,131968.0,3701.0,0.027279629097288254
tpcc64,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1802978.0,430493.0,0.19274617848183387
520.omnetpp,1.0,6400.0,PRAC_WO_Mitigation-ClosedCap4,4555310.0,2169681.0,0.3226295767533369
ycsb_aserver,2.0,8800.0,PRAC_WO_Mitigation-ClosedCap4,1403658.0,332583.0,0.19155347673508458
